lsoacode,population_21
E01011489,1741
E01011491,1443
E01011492,1703
E01011493,1618
E01011494,1693
E01011496,1525
E01011497,1731
E01011500,1564
E01011502,1391
E01011504,1553
E01011505,1731
E01011506,1547
E01011507,1656
E01011508,1431
E01011509,1422
E01011510,1539
E01011511,1426
E01011512,1717
E01011513,2242
E01011514,1776
E01011515,1498
E01011516,1725
E01011517,1732
E01011518,2283
E01011519,1512
E01011520,1491
E01011521,2209
E01011522,1374
E01011523,1888
E01011524,1215
E01011525,1576
E01011526,1226
E01011527,1727
E01011528,1570
E01011529,1379
E01011530,1385
E01011531,1687
E01011532,1601
E01011533,1391
E01011534,2360
E01011535,1734
E01011536,1662
E01011537,2059
E01011538,1578
E01011540,2009
E01011541,2029
E01011545,1355
E01011546,1719
E01011547,1960
E01011548,1507
E01011549,1404
E01011550,1369
E01011551,1745
E01011552,1486
E01011553,1381
E01011554,1457
E01011555,1391
E01011556,1637
E01011557,1444
E01011558,1772
E01011559,1489
E01011560,1945
E01011561,1199
E01011562,1579
E01011563,1441
E01011564,1565
E01011565,1534
E01011566,1296
E01011567,1440
E01011568,1970
E01011569,1737
E01011570,2337
E01011571,1601
E01011572,1729
E01011573,1323
E01011574,1406
E01011576,1449
E01011578,1294
E01011579,1322
E01011580,1338
E01011581,1668
E01011582,1613
E01011583,1547
E01011584,1685
E01011585,1372
E01011586,1833
E01011587,1742
E01011588,1784
E01011589,1570
E01011590,1715
E01011591,1625
E01011592,1620
E01011593,1949
E01011594,1530
E01011595,2198
E01011596,1648
E01011597,1717
E01011598,1593
E01011599,1629
E01011600,1502
E01011601,1636
E01011602,2001
E01011603,1612
E01011604,1350
E01011605,1790
E01011606,2029
E01011607,1623
E01011608,1360
E01011609,1410
E01011610,1537
E01011611,1480
E01011612,1387
E01011613,1785
E01011614,1851
E01011615,1588
E01011616,1690
E01011617,1661
E01011618,1663
E01011620,1347
E01011621,1543
E01011622,1731
E01011623,1669
E01011624,1872
E01011625,1680
E01011626,2354
E01011627,1354
E01011628,1231
E01011629,1303
E01011630,2021
E01011632,1325
E01011633,1455
E01011634,1601
E01011635,1836
E01011636,1884
E01011637,1717
E01011638,1440
E01011639,1483
E01011641,1611
E01011642,1339
E01011643,1516
E01011644,1342
E01011645,1516
E01011646,1849
E01011647,1899
E01011648,1881
E01011649,1587
E01011650,1496
E01011651,1475
E01011652,1425
E01011653,1399
E01011654,1458
E01011655,1440
E01011656,1526
E01011657,1224
E01011658,1682
E01011659,1451
E01011660,1803
E01011661,1719
E01011662,1356
E01011663,1649
E01011664,1303
E01011665,1372
E01011666,1420
E01011667,1576
E01011668,1656
E01011669,1451
E01011670,2586
E01011671,1700
E01011673,1847
E01011677,1632
E01011678,4228
