LSOA11CD,alcohol_related,community,education,entertainment,financial,food_related,healthcare,leisure,other,parking_related,police_related,religion,residential,retail,transport,urban_utilities
E01001219,0,1,0,0,0,0,0,2,4,3,0,0,9,0,0,1
E01001220,0,1,1,0,0,1,1,2,12,8,0,1,20,3,0,5
E01001221,8,2,4,3,26,77,6,1,177,96,0,2,6,20,0,34
E01001222,3,1,0,0,1,7,3,0,28,30,0,1,20,5,1,7
E01001223,0,1,0,0,0,0,3,0,3,3,0,0,7,0,0,0
E01001224,0,0,1,0,0,0,1,0,10,5,0,1,49,0,0,0
E01001225,3,2,0,0,2,14,2,1,13,24,0,4,8,3,0,23
E01001226,0,2,2,0,0,0,0,0,9,2,0,1,27,0,0,0
E01001227,0,0,1,0,0,0,0,0,2,1,0,0,43,0,0,0
E01001228,0,1,1,0,0,0,0,2,11,9,0,0,12,0,0,4
E01001229,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
E01001230,1,0,4,0,0,3,0,0,7,16,0,0,1,2,0,4
E01001231,0,0,0,0,2,5,2,1,40,21,0,1,3,3,0,0
E01001232,0,0,0,0,0,0,0,0,3,15,0,1,6,0,0,0
E01001233,1,2,2,0,2,3,0,2,11,21,0,1,6,3,0,13
E01001234,0,0,0,0,0,0,1,1,6,14,0,0,2,0,0,24
E01001235,2,1,1,0,0,1,2,0,15,8,0,1,12,1,0,16
E01001236,1,0,0,0,0,0,0,0,5,3,0,1,0,0,0,1
E01001237,1,0,0,0,0,1,0,2,4,4,0,0,1,0,0,9
E01001238,2,1,0,0,1,7,0,1,14,31,0,0,108,6,0,26
E01001239,0,1,1,0,0,2,0,3,7,9,0,0,64,0,0,6
E01001240,0,1,0,0,0,3,0,2,8,4,0,2,0,0,0,9
E01001241,0,1,1,0,0,1,0,4,38,8,0,1,7,1,0,58
E01001242,0,0,0,0,0,0,0,1,2,1,0,1,2,2,0,4
E01001243,0,1,0,0,0,1,0,3,7,2,0,0,14,2,0,24
E01001244,0,1,1,0,0,0,0,5,14,5,0,0,22,0,0,52
E01001245,0,0,0,0,1,2,0,0,8,6,0,0,3,2,0,1
E01001246,2,0,0,0,0,5,0,3,12,8,0,0,2,1,0,25
E01001247,0,1,0,3,3,8,2,1,20,29,0,1,1,5,0,22
E01001248,0,0,1,0,0,3,0,7,31,16,0,1,8,0,0,18
E01001249,1,2,2,1,0,11,1,0,78,28,0,2,20,5,0,6
E01001250,1,1,0,0,1,7,1,0,18,7,0,0,55,2,0,0
E01001251,1,2,2,0,2,4,0,1,44,16,0,1,4,3,0,15
E01001252,5,4,1,0,0,15,4,1,169,38,0,2,20,8,1,5
E01001253,1,0,1,0,1,0,0,0,12,8,0,1,8,1,0,2
E01001254,3,1,1,0,0,1,0,3,10,9,0,0,11,0,0,2
E01001255,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0
E01001257,0,0,0,0,0,1,1,1,4,4,0,0,6,0,0,0
E01001258,0,0,1,0,0,0,1,0,5,1,0,1,0,1,0,0
E01001259,0,2,0,0,1,1,0,3,8,10,0,1,0,0,0,11
E01001260,0,0,0,0,0,3,1,0,4,5,0,1,12,1,0,0
E01001261,0,4,3,0,7,8,2,1,36,27,0,2,2,5,0,2
E01001262,2,1,0,0,0,0,0,2,14,3,0,0,2,0,0,7
E01001263,0,0,1,0,0,0,0,6,2,7,0,0,3,1,0,1
E01001264,0,0,0,0,0,1,0,1,2,1,0,0,3,1,0,10
E01001265,0,0,0,0,0,1,0,1,4,3,0,0,0,0,0,0
E01001266,0,0,0,0,1,5,2,3,14,13,0,0,1,5,0,13
E01001267,0,1,5,0,0,0,0,2,19,8,0,0,3,0,0,0
E01001268,0,0,0,0,0,1,1,2,18,4,0,2,0,2,0,1
E01001269,0,1,1,0,0,1,1,2,7,6,0,1,5,3,0,1
E01001270,0,1,0,0,0,0,0,1,2,3,0,1,0,0,0,2
E01001271,2,1,0,0,0,4,1,0,7,10,0,1,1,1,0,1
E01001272,1,1,2,0,0,6,2,2,24,12,0,0,6,7,0,12
E01001273,1,0,1,0,0,5,3,0,15,15,0,1,5,6,0,0
E01001274,0,1,1,0,0,0,0,0,6,8,0,1,12,0,0,1
E01001275,0,0,1,0,0,0,0,0,6,1,0,0,8,0,0,0
E01001276,0,0,1,0,0,0,0,0,7,0,0,2,1,1,0,1
E01001277,1,0,0,0,0,2,0,0,8,11,0,0,33,0,0,1
E01001278,2,1,0,0,0,5,1,0,9,18,0,0,18,4,0,12
E01001279,0,0,0,0,0,0,1,0,4,2,0,0,1,0,0,0
